albert_abraham basetothenew
batch_active mstr_batch_active
batch_audit_sysmgmt mstr_batch_audit_sysmgmt
batch_bi_dbo mstr_batch_bi_dbo
batch_bi_dimensions mstr_batch_bi_dimensions
batch_bi_imei mstr_batch_bi_imei
batch_bi_purchase mstr_batch_bi_purchase
batch_bi_sales mstr_batch_bi_sales
batch_bi_stocks mstr_batch_bi_stocks
batch_campaign mstr_batch_campaign
batch_cashback mstr_batch_cashback
batch_cf mstr_batch_cf
batch_cluster mstr_batch_cluster
batch_collection mstr_batch_collection
batch_configuration mstr_batch_configuration
batch_credit  mstr_batch_credit
batch_cvs mstr_batch_cvs
batch_cvs_reconcile mstr_batch_cvs_reconcile
batch_dbo read_all_dbo
batch_dealer mstr_batch_dealer
batch_delivery mstr_batch_delivery
batch_demand_forecast mstr_demand_forecast
batch_dss_bi mstr_batch_dss_bi
batch_dss_sysmgmt mstr_batch_dss_sysmgmt
batch_edi mstr_batch_edi
batch_erp mstr_batch_erp
batch_estore mstr_batch_estore
batch_finance mstr_batch_finance
batch_ga mstr_batch_ga
batch_hyke mstr_batch_hyke
batch_hyke_bi_model mstr_batch_hyke_bi_model
batch_hyke_fact_model mstr_batch_hyke_fact_model
batch_hykebi mstr_batch_hykebi
batch_inventory mstr_batch_inventory
batch_invoice mstr_batch_invoice
batch_loyalty mstr_batch_loyalty
batch_om mstr_batch_om
batch_optimiza mstr_batch_optimiza
batch_order mstr_batch_order
batch_pms mstr_batch_pms
batch_ppi mstr_batch_ppi
batch_pricing mstr_batch_pricing
batch_qa read_all_dbo
batch_sales_return mstr_batch_sales_return
batch_service mstr_batch_service
batch_shipment mstr_batch_shipment
batch_stg_axiombi mstr_batch_stg_axiombi
batch_stg_hykebi mstr_batch_stg_hykebi
batch_supplier_visibility mstr_batch_supplier_visibility
batch_uts mstr_batch_uts
batch_wire_transfer mstr_batch_wire_transfer
batch_wms mstr_batch_wms
batch_ygag mstr_batch_ygag
kapil_alawadhi baseintsof
monika_rana baseintsof
nifi_axiom mstr_axiom
nifi_hyke mstr_hyke
prakhar_gandhi read_intsoft
qa read_axiom
raj_bhalla read_intsoft
raveen_sharma read_axiom
ravi_tomar baseintsof
sameer_shukla baseintsof
sanchi_bansal read_intsoft
sandeep_sunkavalli read_write_ttn
shivali_singla read_intsoft
suraj_sharma read_intsoft
tm1_portal read_finance
varun_gupta read_intsoft
yogesh_patil mstr_axiom
